SERVICEORDERDATE,SERVICECODEDESCRIPTION,LATITUDE,LONGITUDE,ZIPCODE
2015-06-04,Street Cleaning,38.8873544525,-76.9289151162,20019.0
2015-06-04,Traffic Signal Maintenance,38.9357409211,-77.1064805369,
2015-06-04,Sign Replacement,38.8975262805,-77.0251803893,20004.0
2015-06-04,Parking Meter Repair,38.9056548541,-77.0441730561,
2015-06-04,Bulk Collection,38.8440403972,-76.9887698591,20032.0
2015-06-04,Residential Parking Permit Violation,38.9025173072,-77.0144499289,
2015-06-04,Street Cleaning,38.8853846768,-77.0018054062,20003.0
2015-06-04,Parking Enforcement,38.9051988577,-77.0282995109,20005.0
2015-06-04,Bulk Collection,38.9538451081,-77.0303500112,20011.0
2015-06-04,Parking Meter Repair,38.9241998132,-77.0519031245,
2015-06-04,Parking Meter Repair,38.9241834681,-77.0225228878,
2015-06-04,Parking Meter Repair,38.876478328,-76.9969810701,
2015-06-04,Parking Meter Repair,38.9081381766,-77.0416761758,
2015-06-04,Parking Meter Repair,38.8978262275,-77.0296189154,
2015-06-04,Traffic Signal Maintenance,38.8849753871,-77.0281243659,
2015-06-04,Bulk Collection,38.8966699679,-76.9707765879,20002.0
2015-06-04,Streetlight Repair Investigation,38.8805849822,-77.0266498486,20024.0
2015-06-04,Parking Meter Repair,38.9046997262,-77.044902703,
2015-06-04,Bulk Collection,38.8937401071,-76.9583685459,20019.0
2015-06-04,Parking Enforcement,38.944284903,-77.0781032388,20016.0
2015-06-04,Parking Enforcement,38.9480015898,-77.0174062573,
2015-06-04,Parking Meter Repair,38.8967107017,-77.0239687353,
2015-06-04,Bulk Collection,38.9347648899,-77.0421060344,20010.0
2015-06-04,Parking Meter Repair,38.9126900891,-77.0785693985,
2015-06-04,Trash Collection - Missed,38.9453021461,-77.0928497519,20016.0
2015-06-04,CONTAINER REMOVAL,38.9105288298,-77.0407803163,20036.0
2015-06-04,Bulk Collection,38.9250656384,-77.0505266891,20008.0
2015-06-04,Streetlight Repair Investigation,38.9054527121,-77.0011024101,20002.0
2015-06-04,Traffic Calming,38.9253985007,-77.0671560422,20007.0
2015-06-04,Parking Meter Repair,38.9046997262,-77.044902703,
2015-06-04,Parking Meter Repair,38.8978262275,-77.0296189154,
2015-06-04,Tree Inspection,38.9271856146,-77.0415528383,
2015-06-04,Parking Enforcement,38.92352133,-77.0387690703,20009.0
2015-06-04,Abandoned Vehicle - On Public Property,38.9592208765,-77.0695696529,20015.0
2015-06-04,Pothole,38.9305428541,-77.0133434865,20010.0
2015-06-04,Emergency No-Parking Verification,38.8895143833,-76.9860820988,20003.0
2015-06-04,Parking Enforcement,38.9499472793,-77.0808273892,20016.0
2015-06-04,Parking Meter Repair,38.905232309,-77.0570119079,
2015-06-04,Parking Meter Repair,38.9060024308,-77.0611985006,
2015-06-04,Alley Cleaning,38.8979246701,-76.9807080151,20002.0
2015-06-04,Street Cleaning,38.9191799149,-77.0943435229,
2015-06-04,Sanitation Enforcement,38.9530065304,-77.0142993594,20011.0
2015-06-04,Parking Enforcement,38.9499472793,-77.0808273892,20016.0
2015-06-04,Bulk Collection,38.9085891887,-77.0689140421,20007.0
2015-06-04,Parking Meter Repair,38.9026869299,-77.063335155,
2015-06-04,CONTAINER REMOVAL,38.9085891887,-77.0689140421,20007.0
2015-06-04,Alley Cleaning,38.8999862544,-76.9756590322,20002.0
2015-06-04,Street Cleaning,38.9121459735,-77.0207091982,20001.0
2015-06-04,DMV - Driver's License/ID Issues,38.9554065134,-77.0187991819,
2015-06-04,Parking Enforcement,38.9499472793,-77.0808273892,20016.0
2015-06-04,DMV - Driver's License/ID Issues,38.8751430036,-76.9340776674,20019.0
2015-06-04,Signs Conflicting,38.8978332498,-77.0270341066,
2015-06-04,Parking Meter Repair,38.8875674911,-77.0209115388,
2015-06-04,Parking Enforcement,38.9343465175,-77.0396057322,20010.0
