SERVICEORDERDATE,SERVICECODEDESCRIPTION,LATITUDE,LONGITUDE,ZIPCODE
2015-02-23,DMV - Vehicle Title Issues,38.9176822236,-77.0428938974,20009.0
2015-02-23,Bulk Collection,38.9227111155,-76.9746775248,20018.0
2015-02-23,Trash Collection - Missed,38.9598399363,-77.0834926655,20015.0
2015-02-23,Sign New Investigation,38.9521479603,-76.9881931856,20017.0
2015-02-23,Sidewalk Repair,38.9458444592,-77.0967632845,
2015-02-23,Trash Collection - Missed,38.8982365016,-76.9958837299,20002.0
2015-02-23,Recycling Collection - Missed,38.8983273069,-76.995911507,20002.0
2015-02-23,Parking Meter Repair,38.9030502097,-77.0259854276,
2015-02-23,Emergency No-Parking Verification,38.8863145179,-76.99179523,20003.0
2015-02-23,Emergency No-Parking Verification,38.8863145179,-76.99179523,20003.0
2015-02-23,Abandoned Vehicle - On Public Property,38.9516235766,-76.9887074562,
2015-02-23,Trash Collection - Missed,38.9333446595,-77.0317880578,20010.0
2015-02-23,Parking Meter Repair,38.9030502097,-77.0259854276,
2015-02-23,Residential Parking Permit Violation,38.8826275634,-76.9895018716,20003.0
2015-02-23,Pothole,38.9126060407,-77.0296224307,
2015-02-23,Recycling Collection - Missed,38.8844539625,-77.0061572493,20003.0
2015-02-23,Signs Conflicting,38.9206086858,-77.0216206858,20001.0
2015-02-23,Bulk Collection,38.9469068517,-77.0900090787,20016.0
2015-02-23,Bulk Collection,38.9514745772,-76.9889640519,20017.0
2015-02-23,CONTAINER REMOVAL,38.8302821315,-76.9982372176,20032.0
2015-02-23,Recycling Collection - Missed,38.8794806547,-76.9904550963,20003.0
2015-02-23,Sign New Investigation,38.857826969,-76.9646854673,20020.0
2015-02-23,Parking Meter Repair,38.9010114246,-77.0457763388,
2015-02-23,Sanitation Enforcement,38.9564128864,-77.0211001936,
2015-02-23,Trash Collection - Missed,38.9651855644,-77.0677944708,20015.0
2015-02-23,Recycling Collection - Missed,38.9651855644,-77.0677944708,20015.0
2015-02-23,Emergency No-Parking Verification,38.9185286584,-77.0541461954,20008.0
2015-02-23,DMV - Driver's License/ID Issues,38.9531199568,-77.0345194425,20011.0
2015-02-23,Snow/Ice Removal,38.8542502473,-76.9684032724,20020.0
2015-02-23,Trash Collection - Missed,38.9417885276,-77.054999107,20008.0
2015-02-23,Recycling Collection - Missed,38.888164386,-76.9966725127,
2015-02-23,Recycling Collection - Missed,38.9417885276,-77.054999107,20008.0
2015-02-23,Bulk Collection,38.9174107396,-77.073139457,20007.0
2015-02-23,Emergency No-Parking Verification,38.9050144459,-77.0608951622,20007.0
2015-02-23,Bulk Collection,38.8268185024,-77.0109899647,20032.0
2015-02-23,Graffiti Removal,38.9188196617,-77.0042934247,20002.0
2015-02-23,Trash Collection - Missed,38.961337039,-77.0604372221,20015.0
2015-02-23,Sidewalk Repair,38.9492557267,-76.9878281992,20017.0
2015-02-23,Parking Meter Repair,38.8935390596,-77.0406058028,
2015-02-23,Parking Meter Repair,38.9052582269,-77.0523519258,
2015-02-23,Recycling Collection - Missed,38.9425638226,-77.0748706082,20016.0
2015-02-23,Trash Collection - Missed,38.8539125095,-76.9738164464,20020.0
2015-02-23,Bulk Collection,38.8207554762,-77.0070093092,20032.0
2015-02-23,Bulk Collection,38.8273487884,-77.0123184705,20032.0
2015-02-23,Bulk Collection,38.9068522068,-77.04645628,20036.0
2015-02-23,Trash Collection - Missed,38.9189313838,-77.0742225332,20007.0
2015-02-23,Recycling Collection - Missed,38.9412447511,-77.0601914528,20008.0
2015-02-23,Bulk Collection,38.9198320032,-76.9834344538,20018.0
2015-02-23,Trash Collection - Missed,38.9583603055,-77.0787220809,
2015-02-23,Alley Cleaning,38.9188250737,-77.0150775523,20001.0
2015-02-23,Recycling Collection - Missed,38.8846260824,-77.0067084236,20003.0
2015-02-23,DMV - Processing Center Manager,38.9119743585,-77.0403762046,20009.0
2015-02-23,Trash Collection - Missed,38.9622379114,-77.0671223323,20015.0
2015-02-23,DMV - Driver's License/ID Issues,38.9047851403,-77.0306558676,20005.0
2015-02-23,Parking Meter Repair,38.8770041699,-77.0066966767,
2015-02-23,Trash Collection - Missed,38.9745891478,-77.0661157691,20015.0
2015-02-23,Parking Enforcement,38.9639393962,-77.0193644315,20011.0
2015-02-23,Trash Collection - Missed,38.9692253033,-77.0347310293,20012.0
2015-02-23,TRU Report,38.8989375071,-77.0425659515,20433.0
2015-02-23,DMV - Driver's License/ID Issues,38.9253982301,-76.9698410775,20018.0
2015-02-23,Recycling Collection - Missed,38.9745891478,-77.0661157691,20015.0
2015-02-23,Bulk Collection,38.8454420022,-76.9705619867,20020.0
2015-02-23,Trash Collection - Missed,38.9667171281,-77.0746502727,
2015-02-23,Bulk Collection,38.8967035734,-76.9746518278,20002.0
2015-02-23,Parking Meter Repair,38.9007649594,-77.0382801379,
2015-02-23,Recycling Collection - Missed,38.9667171281,-77.0746502727,
2015-02-23,Parking Meter Repair,38.9072415586,-77.0494535762,
2015-02-23,Snow/Ice Removal,38.8821231601,-77.0056188165,20003.0
2015-02-23,Recycling Collection - Missed,38.8841170128,-77.0050316276,20003.0
2015-02-23,Utility Repair Investigation,38.8988882499,-77.0542593639,20037.0
2015-02-23,Trash Collection - Missed,38.8785714536,-76.9846806362,20003.0
2015-02-23,Parking Meter Repair,38.8858147406,-76.9984538004,
2015-02-23,TRU Report,38.9576339623,-77.0286518024,20011.0
2015-02-23,Bulk Collection,38.8846510923,-76.9433493887,20019.0
2015-02-23,DMV - Driver's License/ID Issues,38.9265952773,-77.0064105666,20002.0
2015-02-23,Parking Enforcement,38.8900698642,-76.9440155877,20019.0
2015-02-23,Trash Collection - Missed,38.9757823084,-77.0581053765,20015.0
