SERVICEORDERDATE,SERVICECODEDESCRIPTION,LATITUDE,LONGITUDE,ZIPCODE
2015-01-01,Marking Modification,38.9020228938,-77.0396830108,20006.0
2015-01-01,Traffic Calming,,,
2015-01-01,Parking Enforcement,38.9010376578,-77.0203775302,20001.0
2015-01-01,TRU Report,38.8953899832,-77.010683754,20001.0
2015-01-01,Bulk Collection,38.8528061829,-76.9704167859,20020.0
2015-01-01,Parking Meter Repair,38.9090999277,-77.0487969764,
2015-01-01,Bulk Collection,38.917184449,-77.0103686488,20001.0
2015-01-01,Bulk Collection,38.8615207653,-76.960954436,20020.0
2015-01-01,Illegal Dumping,38.9054720793,-76.998828761,20002.0
2015-01-01,Streetlight Repair Investigation,38.9595439573,-77.0173336187,20011.0
2015-01-01,Placement Violations,38.9328912945,-77.029997278,20010.0
2015-01-01,Parking Meter Repair,38.8998888222,-77.0434631444,
2015-01-01,Parking Meter Repair,38.8998888222,-77.0434631444,
2015-01-01,Out of State Parking Violation (ROSA),38.9300314138,-77.1022875484,20016.0
2015-01-01,Illegal Dumping,38.9305912754,-77.0333869381,20010.0
2015-01-01,Parking Meter Repair,38.9009060789,-77.0514283853,
2015-01-01,Bulk Collection,38.9053969171,-76.9773242887,20002.0
2015-01-01,Parking Meter Repair,38.8688565045,-77.0136670835,
2015-01-01,Sidewalk Repair,38.94627888,-77.0330019568,20011.0
2015-01-01,DMV - Tag Surrenders/Registration Fee Refunds,38.9309481907,-77.0300447847,20010.0
2015-01-01,Parking Meter Repair,38.9072428667,-77.0441670146,
2015-01-01,Tree Removal,38.9146507694,-77.0011540939,20002.0
2015-01-01,Bulk Collection,38.8637442437,-76.9868342324,20020.0
2015-01-01,Parking Meter Repair,38.9054659567,-77.0547417149,
2015-01-01,Bulk Collection,38.936571751,-77.0207535481,20010.0
2015-01-01,Recycling Collection - Missed,38.9536015711,-77.0104793931,20011.0
2015-01-01,Parking Meter Repair,38.9049090647,-77.0240061756,
2015-01-01,Graffiti Removal,38.9159239107,-77.0093295435,20002.0
2015-01-01,Street Repair,38.9287578022,-77.0748495382,20016.0
2015-01-01,Recycling Collection - Missed,38.9460455497,-77.0237968699,20011.0
2015-01-01,Recycling Collection - Missed,38.9494727263,-77.0251963161,20011.0
2015-01-01,Pothole,38.8388532874,-76.9965293773,
2015-01-01,Bulk Collection,38.9001936112,-76.951594368,20019.0
2015-01-01,Parking Meter Repair,38.9037379732,-77.028855477,
2015-01-01,Parking Meter Repair,38.9037379732,-77.028855477,
2015-01-01,Parking Meter Repair,38.9074925982,-77.0372621118,
2015-01-01,Bulk Collection,38.9553128628,-77.0147367335,20011.0
2015-01-01,Bulk Collection,38.8413217461,-76.9898400301,20032.0
2015-01-01,Streetlight Repair Investigation,38.9490023816,-77.0879667161,20016.0
2015-01-01,Parking Enforcement,38.9310449486,-77.0847091486,20016.0
