Created_Date,Building_Conditions,General_Request,Living_Conditions,Parking_Enforcement,Signal_Sign_Repair,Street_Sidewalk_Repair,Max_TempF,Weather
2015-01-01,1607.0,369.0,273.0,438.0,112.0,264.0,40,8
2015-01-02,1935.0,604.0,581.0,588.0,282.0,499.0,45,8
2015-01-03,1527.0,465.0,369.0,511.0,156.0,322.0,47,4
2015-01-04,1230.0,395.0,403.0,486.0,165.0,357.0,55,1
2015-01-05,2797.0,748.0,705.0,625.0,537.0,734.0,51,8
2015-01-06,3702.0,729.0,552.0,570.0,621.0,662.0,23,7
2015-01-07,5375.0,773.0,637.0,505.0,315.0,709.0,25,8
2015-01-08,7137.0,723.0,671.0,558.0,682.0,770.0,22,8
2015-01-09,4384.0,594.0,564.0,575.0,613.0,452.0,34,7
2015-01-10,3249.0,503.0,357.0,514.0,142.0,386.0,24,8
2015-01-11,2508.0,457.0,343.0,485.0,127.0,507.0,38,8
2015-01-12,2507.0,652.0,675.0,591.0,631.0,650.0,40,4
2015-01-13,2856.0,675.0,665.0,603.0,516.0,766.0,37,8
2015-01-14,2790.0,570.0,511.0,432.0,417.0,720.0,33,8
2015-01-15,1932.0,564.0,535.0,489.0,442.0,781.0,35,8
2015-01-16,1973.0,644.0,611.0,504.0,554.0,695.0,45,8
2015-01-17,2242.0,451.0,406.0,473.0,149.0,437.0,32,8
2015-01-18,1480.0,416.0,604.0,345.0,248.0,518.0,47,1
2015-01-19,1704.0,512.0,563.0,529.0,255.0,577.0,45,8
2015-01-20,2236.0,732.0,710.0,601.0,485.0,752.0,41,8
2015-01-21,2533.0,744.0,703.0,608.0,515.0,856.0,38,7
2015-01-22,2315.0,680.0,682.0,616.0,531.0,759.0,41,8
2015-01-23,2166.0,757.0,598.0,589.0,547.0,797.0,39,7
2015-01-24,1613.0,498.0,377.0,560.0,238.0,467.0,40,2
2015-01-25,1281.0,444.0,371.0,479.0,125.0,504.0,45,8
2015-01-26,3078.0,626.0,495.0,420.0,412.0,351.0,32,7
2015-01-27,2475.0,290.0,402.0,280.0,274.0,672.0,27,7
2015-01-28,2725.0,874.0,496.0,556.0,579.0,1590.0,33,8
2015-01-29,2390.0,908.0,519.0,620.0,592.0,1141.0,37,7
2015-01-30,2108.0,856.0,465.0,596.0,569.0,662.0,38,7
2015-01-31,3559.0,460.0,364.0,607.0,185.0,360.0,27,8
2015-02-01,1875.0,484.0,362.0,549.0,146.0,450.0,36,7
2015-02-02,2891.0,774.0,714.0,580.0,621.0,728.0,35,2
2015-02-03,3507.0,857.0,526.0,659.0,457.0,2524.0,26,8
2015-02-04,2548.0,918.0,551.0,722.0,626.0,2091.0,39,8
2015-02-05,2574.0,786.0,523.0,626.0,633.0,1464.0,39,7
2015-02-06,2819.0,678.0,517.0,664.0,564.0,1358.0,27,8
2015-02-07,1666.0,493.0,358.0,687.0,142.0,732.0,37,7
2015-02-08,1502.0,430.0,348.0,702.0,161.0,710.0,42,8
2015-02-09,2770.0,804.0,626.0,601.0,523.0,741.0,29,4
2015-02-10,2281.0,799.0,532.0,639.0,632.0,997.0,40,7
2015-02-11,2543.0,819.0,561.0,613.0,479.0,749.0,35,8
2015-02-12,2379.0,717.0,606.0,660.0,538.0,783.0,40,7
2015-02-13,3707.0,634.0,523.0,581.0,652.0,608.0,23,8
2015-02-14,2378.0,504.0,373.0,578.0,155.0,448.0,35,7
2015-02-15,3671.0,377.0,319.0,426.0,235.0,328.0,27,7
2015-02-16,6321.0,500.0,512.0,515.0,318.0,1267.0,23,8
2015-02-17,4000.0,731.0,614.0,542.0,445.0,880.0,27,7
2015-02-18,3012.0,682.0,562.0,562.0,507.0,1000.0,31,7
2015-02-19,3542.0,704.0,653.0,594.0,477.0,906.0,27,8
2015-02-20,4885.0,728.0,544.0,568.0,627.0,874.0,21,8
2015-02-21,2983.0,575.0,339.0,574.0,163.0,722.0,33,5
2015-02-22,2004.0,416.0,498.0,557.0,461.0,863.0,43,5
2015-02-23,3148.0,893.0,645.0,657.0,667.0,1666.0,38,8
2015-02-24,3821.0,795.0,576.0,756.0,518.0,1583.0,28,8
2015-02-25,2787.0,792.0,633.0,789.0,458.0,1337.0,37,8
2015-02-26,2567.0,905.0,665.0,733.0,631.0,1119.0,32,7
2015-02-27,2328.0,837.0,590.0,747.0,545.0,832.0,32,8
2015-02-28,1980.0,532.0,368.0,719.0,135.0,788.0,31,8
2015-03-01,1761.0,451.0,349.0,608.0,145.0,573.0,33,2
2015-03-02,2410.0,845.0,572.0,717.0,526.0,1121.0,39,7
2015-03-03,2392.0,828.0,618.0,918.0,697.0,1167.0,36,5
2015-03-04,2530.0,830.0,798.0,746.0,773.0,1184.0,41,4
2015-03-05,2319.0,681.0,491.0,587.0,712.0,806.0,41,2
2015-03-06,2506.0,736.0,531.0,674.0,454.0,1534.0,25,8
2015-03-07,1487.0,544.0,313.0,782.0,210.0,1279.0,37,8
2015-03-08,1219.0,414.0,409.0,625.0,222.0,1164.0,48,7
2015-03-09,1826.0,856.0,743.0,844.0,581.0,1842.0,54,4
2015-03-10,1955.0,946.0,873.0,810.0,697.0,1902.0,50,4
2015-03-11,1685.0,839.0,1041.0,751.0,683.0,2184.0,62,1
2015-03-12,2147.0,775.0,841.0,823.0,565.0,2017.0,50,8
2015-03-13,1795.0,690.0,716.0,733.0,594.0,1575.0,41,8
2015-03-14,1124.0,564.0,548.0,650.0,408.0,957.0,49,1
2015-03-15,1204.0,471.0,461.0,564.0,282.0,1262.0,46,8
2015-03-16,1843.0,697.0,866.0,768.0,575.0,2053.0,50,8
2015-03-17,1790.0,734.0,800.0,734.0,576.0,1903.0,60,4
2015-03-18,2359.0,698.0,775.0,690.0,477.0,1826.0,41,7
2015-03-19,1952.0,704.0,701.0,746.0,624.0,1635.0,44,8
2015-03-20,1910.0,727.0,616.0,670.0,522.0,1145.0,40,3
2015-03-21,1389.0,502.0,422.0,595.0,208.0,821.0,48,7
2015-03-22,1128.0,462.0,372.0,529.0,217.0,823.0,45,8
2015-03-23,2222.0,807.0,662.0,725.0,482.0,1438.0,41,8
2015-03-24,2011.0,715.0,687.0,696.0,505.0,1455.0,43,8
2015-03-25,1847.0,737.0,700.0,699.0,484.0,1240.0,46,4
2015-03-26,1722.0,669.0,682.0,809.0,551.0,1305.0,54,1
2015-03-27,1735.0,713.0,716.0,655.0,582.0,1471.0,47,4
2015-03-28,1283.0,534.0,383.0,569.0,166.0,834.0,42,7
2015-03-29,1345.0,485.0,350.0,540.0,140.0,647.0,46,7
2015-03-30,2053.0,826.0,734.0,765.0,585.0,1098.0,58,5
2015-03-31,2111.0,832.0,729.0,719.0,572.0,1243.0,48,4
2015-04-01,1819.0,790.0,771.0,721.0,468.0,1327.0,53,8
2015-04-02,1583.0,753.0,673.0,644.0,510.0,1380.0,57,8
2015-04-03,1406.0,796.0,599.0,558.0,274.0,1049.0,59,1
2015-04-04,1119.0,572.0,368.0,536.0,183.0,793.0,56,4
2015-04-05,817.0,462.0,265.0,433.0,139.0,700.0,65,8
2015-04-06,1687.0,865.0,707.0,599.0,664.0,1169.0,60,8
2015-04-07,1914.0,899.0,714.0,610.0,615.0,1144.0,57,4
2015-04-08,2215.0,911.0,706.0,558.0,589.0,1082.0,49,4
2015-04-09,2084.0,815.0,688.0,552.0,520.0,1036.0,44,4
2015-04-10,1484.0,733.0,622.0,531.0,630.0,960.0,58,1
2015-04-11,913.0,623.0,383.0,597.0,150.0,772.0,61,8
2015-04-12,900.0,561.0,403.0,508.0,143.0,747.0,61,8
2015-04-13,1534.0,853.0,835.0,654.0,482.0,1148.0,62,8
2015-04-14,1653.0,869.0,764.0,754.0,530.0,1144.0,66,4
2015-04-15,1480.0,932.0,690.0,726.0,625.0,1236.0,72,8
2015-04-16,1470.0,899.0,718.0,751.0,512.0,1185.0,60,8
2015-04-17,1295.0,852.0,646.0,734.0,591.0,1233.0,69,1
2015-04-18,788.0,815.0,450.0,538.0,161.0,1060.0,73,8
2015-04-19,806.0,643.0,438.0,593.0,109.0,843.0,62,8
2015-04-20,1929.0,729.0,877.0,639.0,781.0,1244.0,58,1
2015-04-21,1602.0,812.0,741.0,690.0,740.0,1249.0,67,6
2015-04-22,1650.0,870.0,778.0,690.0,542.0,1248.0,63,6
2015-04-23,2375.0,839.0,732.0,698.0,427.0,1225.0,54,8
2015-04-24,2185.0,730.0,616.0,687.0,472.0,1067.0,52,8
2015-04-25,1219.0,708.0,402.0,605.0,119.0,662.0,59,8
2015-04-26,827.0,605.0,396.0,544.0,164.0,774.0,59,8
2015-04-27,1668.0,802.0,800.0,664.0,574.0,1241.0,63,8
2015-04-28,1618.0,979.0,696.0,752.0,368.0,1313.0,71,8
2015-04-29,1491.0,979.0,741.0,716.0,582.0,1297.0,77,8
2015-04-30,1445.0,837.0,668.0,673.0,547.0,1146.0,63,8
2015-05-01,1340.0,829.0,652.0,693.0,447.0,1166.0,56,8
2015-05-02,759.0,636.0,421.0,641.0,96.0,675.0,61,8
2015-05-03,712.0,601.0,372.0,597.0,133.0,930.0,67,8
2015-05-04,1446.0,988.0,892.0,775.0,505.0,1216.0,74,8
2015-05-05,1473.0,1017.0,917.0,746.0,494.0,1283.0,82,8
2015-05-06,1409.0,933.0,744.0,734.0,597.0,1288.0,70,4
2015-05-07,1331.0,890.0,727.0,768.0,546.0,1260.0,72,8
2015-05-08,1164.0,949.0,673.0,714.0,460.0,1117.0,72,0
2015-05-09,712.0,829.0,449.0,654.0,108.0,847.0,64,1
2015-05-10,602.0,634.0,381.0,575.0,114.0,1044.0,74,0
2015-05-11,1595.0,922.0,843.0,848.0,533.0,1304.0,77,0
2015-05-12,1544.0,970.0,856.0,812.0,432.0,1384.0,87,1
2015-05-13,1419.0,863.0,769.0,713.0,472.0,1172.0,73,8
2015-05-14,1488.0,974.0,739.0,706.0,577.0,1098.0,71,8
2015-05-15,1219.0,891.0,647.0,770.0,370.0,1078.0,71,8
2015-05-16,611.0,735.0,410.0,572.0,122.0,791.0,70,6
2015-05-17,645.0,678.0,450.0,605.0,172.0,865.0,81,1
2015-05-18,1509.0,951.0,790.0,828.0,544.0,1050.0,68,8
2015-05-19,1577.0,903.0,812.0,792.0,560.0,1078.0,75,4
2015-05-20,1348.0,823.0,766.0,734.0,678.0,1193.0,69,8
2015-05-21,1268.0,825.0,695.0,745.0,696.0,990.0,62,8
2015-05-22,1122.0,736.0,595.0,695.0,411.0,897.0,79,4
2015-05-23,690.0,609.0,338.0,689.0,126.0,733.0,68,8
2015-05-24,512.0,514.0,285.0,474.0,120.0,854.0,74,8
2015-05-25,573.0,446.0,406.0,455.0,130.0,1111.0,77,8
2015-05-26,1514.0,962.0,869.0,835.0,628.0,1304.0,76,8
2015-05-27,1419.0,921.0,831.0,824.0,580.0,1188.0,74,8
2015-05-28,1334.0,979.0,854.0,932.0,599.0,1335.0,78,8
2015-05-29,1268.0,886.0,764.0,855.0,434.0,1317.0,80,8
2015-05-30,699.0,763.0,466.0,744.0,164.0,1081.0,78,0
2015-05-31,799.0,546.0,861.0,580.0,314.0,811.0,79,6
2015-06-01,1701.0,868.0,1206.0,823.0,695.0,1083.0,63,6
2015-06-02,1449.0,889.0,864.0,889.0,597.0,1071.0,56,4
2015-06-03,1440.0,856.0,872.0,896.0,625.0,1299.0,68,4
2015-06-04,1240.0,926.0,737.0,881.0,452.0,1203.0,67,8
2015-06-05,1169.0,850.0,704.0,759.0,420.0,1016.0,69,4
2015-06-06,659.0,826.0,449.0,673.0,184.0,933.0,79,4
2015-06-07,629.0,714.0,424.0,643.0,120.0,976.0,71,8
2015-06-08,1442.0,898.0,930.0,857.0,521.0,1244.0,73,4
2015-06-09,1445.0,945.0,799.0,926.0,525.0,1184.0,85,4
2015-06-10,1405.0,968.0,792.0,853.0,566.0,1315.0,79,8
2015-06-11,1295.0,945.0,804.0,856.0,483.0,1554.0,87,4
2015-06-12,1262.0,863.0,697.0,791.0,498.0,1483.0,85,8
2015-06-13,787.0,634.0,485.0,693.0,139.0,1289.0,88,4
2015-06-14,842.0,584.0,469.0,602.0,155.0,1126.0,86,4
2015-06-15,1611.0,953.0,1088.0,867.0,766.0,1293.0,81,6
2015-06-16,1863.0,980.0,1073.0,896.0,506.0,1255.0,79,4
2015-06-17,1481.0,985.0,908.0,892.0,523.0,1160.0,81,8
2015-06-18,1291.0,1004.0,808.0,886.0,471.0,1106.0,71,4
2015-06-19,1255.0,886.0,754.0,792.0,503.0,1228.0,89,4
2015-06-20,665.0,747.0,457.0,738.0,81.0,919.0,75,4
2015-06-21,745.0,566.0,430.0,609.0,112.0,1019.0,90,4
2015-06-22,1477.0,906.0,941.0,881.0,546.0,1461.0,89,8
2015-06-23,1540.0,877.0,889.0,823.0,650.0,1578.0,89,6
2015-06-24,1571.0,1217.0,946.0,847.0,516.0,1688.0,86,8
2015-06-25,1585.0,948.0,1041.0,762.0,455.0,1381.0,82,4
2015-06-26,1232.0,891.0,806.0,840.0,393.0,1211.0,81,4
2015-06-27,711.0,657.0,512.0,628.0,140.0,724.0,71,4
2015-06-28,745.0,627.0,554.0,658.0,180.0,985.0,76,4
2015-06-29,1691.0,974.0,1016.0,833.0,618.0,1515.0,79,8
2015-06-30,1.0,1.0,121.0,0.0,0.0,24.0,81,4
2015-07-01,1665.0,869.0,1032.0,771.0,514.0,1537.0,85,6
2015-07-02,1300.0,818.0,794.0,697.0,501.0,1106.0,80,4
2015-07-03,806.0,659.0,573.0,480.0,177.0,999.0,82,8
2015-07-04,522.0,379.0,401.0,386.0,98.0,855.0,80,4
2015-07-05,450.0,373.0,444.0,468.0,155.0,975.0,81,8
2015-07-06,1534.0,837.0,1032.0,728.0,390.0,1240.0,83,8
2015-07-07,1596.0,791.0,1102.0,771.0,419.0,1299.0,84,4
2015-07-08,1610.0,818.0,1110.0,790.0,465.0,1207.0,89,4
2015-07-09,1446.0,903.0,887.0,829.0,514.0,938.0,77,6
2015-07-10,1274.0,798.0,794.0,749.0,354.0,1000.0,86,8
2015-07-11,692.0,679.0,506.0,575.0,136.0,1056.0,86,8
2015-07-12,663.0,540.0,557.0,590.0,127.0,1116.0,86,8
2015-07-13,1627.0,814.0,1076.0,820.0,461.0,1401.0,84,8
2015-07-14,1694.0,843.0,1157.0,822.0,476.0,1098.0,80,4
2015-07-15,1690.0,809.0,1238.0,734.0,655.0,1164.0,82,6
2015-07-16,1488.0,891.0,1185.0,727.0,551.0,1128.0,79,8
2015-07-17,1243.0,820.0,859.0,666.0,416.0,1080.0,80,8
2015-07-18,678.0,662.0,610.0,608.0,159.0,899.0,83,6
2015-07-19,816.0,468.0,534.0,558.0,162.0,1283.0,89,8
2015-07-20,1903.0,715.0,1110.0,709.0,684.0,1727.0,95,8
2015-07-21,1568.0,792.0,1171.0,767.0,540.0,1601.0,89,8
2015-07-22,1490.0,819.0,966.0,717.0,446.0,1430.0,89,8
2015-07-23,1393.0,785.0,1012.0,756.0,603.0,1382.0,88,8
2015-07-24,1121.0,761.0,791.0,722.0,386.0,1239.0,87,8
2015-07-25,601.0,573.0,491.0,658.0,101.0,1153.0,84,8
2015-07-26,616.0,464.0,486.0,556.0,132.0,928.0,87,4
2015-07-27,1549.0,844.0,1119.0,800.0,552.0,1248.0,85,8
2015-07-28,1477.0,697.0,973.0,814.0,456.0,1296.0,89,8
2015-07-29,1652.0,727.0,975.0,673.0,496.0,1568.0,95,8
2015-07-30,1495.0,655.0,1118.0,762.0,579.0,1395.0,85,6
2015-07-31,1293.0,747.0,878.0,763.0,350.0,1535.0,93,8
2015-08-01,700.0,583.0,550.0,635.0,147.0,1117.0,91,8
2015-08-02,681.0,463.0,560.0,613.0,157.0,1086.0,87,8
2015-08-03,1509.0,773.0,1006.0,754.0,520.0,1369.0,89,8
2015-08-04,1514.0,774.0,950.0,759.0,525.0,1628.0,92,6
2015-08-05,1608.0,780.0,1000.0,759.0,680.0,1360.0,91,8
2015-08-06,1496.0,761.0,974.0,699.0,438.0,1242.0,86,8
2015-08-07,1375.0,716.0,809.0,698.0,463.0,1179.0,86,8
2015-08-08,632.0,619.0,522.0,635.0,140.0,1044.0,83,8
2015-08-09,578.0,536.0,504.0,549.0,130.0,986.0,87,8
2015-08-10,1507.0,855.0,1058.0,841.0,507.0,1178.0,81,8
2015-08-11,1462.0,666.0,973.0,714.0,498.0,1147.0,81,4
2015-08-12,1540.0,759.0,910.0,711.0,462.0,1210.0,88,8
