,EST,Max TemperatureF,Events
0,2014-1-1,34,Sunny
1,2014-1-2,33,Snow
2,2014-1-3,19,Fog-Snow
3,2014-1-4,31,Sunny
4,2014-1-5,49,Fog-Rain
5,2014-1-6,53,Fog-Rain-Snow
6,2014-1-7,20,Sunny
7,2014-1-8,24,Sunny
8,2014-1-9,34,Sunny
9,2014-1-10,38,Rain-Snow
10,2014-1-11,54,Fog-Rain
11,2014-1-12,52,Sunny
12,2014-1-13,50,Sunny
13,2014-1-14,48,Rain
14,2014-1-15,44,Fog
15,2014-1-16,42,Fog
16,2014-1-17,45,Sunny
17,2014-1-18,42,Rain-Snow-Thunderstorm
18,2014-1-19,38,Sunny
19,2014-1-20,48,Snow
20,2014-1-21,33,Snow
21,2014-1-22,18,Snow
22,2014-1-23,21,Sunny
23,2014-1-24,20,Sunny
24,2014-1-25,30,Fog-Snow
25,2014-1-26,36,Snow
26,2014-1-27,45,Sunny
27,2014-1-28,22,Snow
28,2014-1-29,24,Snow
29,2014-1-30,28,Sunny
30,2014-1-31,43,Sunny
31,2014-2-1,43,Sunny
32,2014-2-2,52,Fog
33,2014-2-3,44,Fog-Rain-Snow
34,2014-2-4,35,Sunny
35,2014-2-5,35,Rain-Snow
36,2014-2-6,32,Sunny
37,2014-2-7,32,Sunny
38,2014-2-8,29,Sunny
39,2014-2-9,30,Fog-Snow
40,2014-2-10,29,Sunny
41,2014-2-11,25,Sunny
42,2014-2-12,27,Sunny
43,2014-2-13,36,Fog-Rain-Snow
44,2014-2-14,41,Rain-Snow
45,2014-2-15,37,Fog-Rain-Snow
46,2014-2-16,30,Sunny
47,2014-2-17,32,Sunny
48,2014-2-18,40,Snow
49,2014-2-19,44,Fog-Rain
50,2014-2-20,44,Rain
51,2014-2-21,47,Fog-Rain
52,2014-2-22,53,Sunny
53,2014-2-23,55,Sunny
54,2014-2-24,45,Rain
55,2014-2-25,35,Sunny
56,2014-2-26,33,Snow
57,2014-2-27,35,Snow
58,2014-2-28,26,Sunny
59,2014-3-1,36,Sunny
60,2014-3-2,43,Rain-Snow
61,2014-3-3,35,Snow
62,2014-3-4,29,Sunny
63,2014-3-5,40,Sunny
64,2014-3-6,31,Sunny
65,2014-3-7,36,Rain
66,2014-3-8,60,Sunny
67,2014-3-9,47,Rain
68,2014-3-10,51,Rain-Snow
69,2014-3-11,65,Sunny
70,2014-3-12,57,Rain
71,2014-3-13,34,Sunny
72,2014-3-14,42,Sunny
73,2014-3-15,61,Rain
74,2014-3-16,43,Sunny
75,2014-3-17,34,Snow
76,2014-3-18,43,Sunny
77,2014-3-19,46,Rain
78,2014-3-20,56,Rain
79,2014-3-21,54,Sunny
80,2014-3-22,65,Sunny
81,2014-3-23,46,Sunny
82,2014-3-24,36,Sunny
83,2014-3-25,39,Snow
84,2014-3-26,39,Snow
85,2014-3-27,39,Sunny
86,2014-3-28,51,Rain
87,2014-3-29,52,Rain
88,2014-3-30,55,Fog-Rain-Thunderstorm
89,2014-3-31,56,Rain-Snow
90,2014-4-1,57,Sunny
91,2014-4-2,48,Rain
92,2014-4-3,63,Rain
93,2014-4-4,45,Rain
94,2014-4-5,57,Rain
95,2014-4-6,57,Sunny
96,2014-4-7,51,Rain
97,2014-4-8,66,Fog-Rain-Thunderstorm
98,2014-4-9,64,Sunny
99,2014-4-10,53,Sunny
100,2014-4-11,69,Rain
101,2014-4-12,68,Sunny
102,2014-4-13,65,Sunny
103,2014-4-14,66,Fog
104,2014-4-15,56,Fog-Rain-Snow
105,2014-4-16,49,Rain-Snow
106,2014-4-17,47,Sunny
107,2014-4-18,46,Sunny
108,2014-4-19,68,Sunny
109,2014-4-20,54,Sunny
110,2014-4-21,58,Sunny
111,2014-4-22,62,Rain
112,2014-4-23,63,Sunny
113,2014-4-24,64,Sunny
114,2014-4-25,59,Rain
115,2014-4-26,67,Rain
116,2014-4-27,61,Sunny
117,2014-4-28,66,Sunny
118,2014-4-29,51,Rain
119,2014-4-30,56,Rain
120,2014-5-1,71,Fog-Rain
121,2014-5-2,69,Rain
122,2014-5-3,66,Rain
123,2014-5-4,66,Sunny
124,2014-5-5,69,Sunny
125,2014-5-6,69,Sunny
126,2014-5-7,64,Sunny
127,2014-5-8,58,Rain
128,2014-5-9,63,Fog-Rain-Thunderstorm
129,2014-5-10,77,Fog-Rain
130,2014-5-11,79,Rain
131,2014-5-12,76,Sunny
132,2014-5-13,70,Sunny
133,2014-5-14,64,Sunny
134,2014-5-15,71,Rain
135,2014-5-16,66,Rain
136,2014-5-17,70,Rain
137,2014-5-18,69,Sunny
138,2014-5-19,74,Sunny
139,2014-5-20,79,Sunny
140,2014-5-21,75,Sunny
141,2014-5-22,62,Rain-Thunderstorm
142,2014-5-23,69,Rain-Thunderstorm
143,2014-5-24,70,Rain
144,2014-5-25,78,Sunny
145,2014-5-26,85,Sunny
146,2014-5-27,84,Sunny
147,2014-5-28,67,Sunny
148,2014-5-29,62,Sunny
149,2014-5-30,70,Rain
150,2014-5-31,72,Sunny
151,2014-6-1,75,Sunny
152,2014-6-2,74,Sunny
153,2014-6-3,80,Rain
154,2014-6-4,82,Sunny
155,2014-6-5,77,Rain
156,2014-6-6,79,Sunny
157,2014-6-7,80,Sunny
158,2014-6-8,85,Sunny
159,2014-6-9,68,Rain-Thunderstorm
160,2014-6-10,78,Sunny
