,EST,Max TemperatureF,Events
0,2015-1-1,40,Sunny
1,2015-1-2,45,Sunny
2,2015-1-3,47,Rain
3,2015-1-4,55,Fog-Rain
4,2015-1-5,51,Sunny
5,2015-1-6,23,Snow
6,2015-1-7,25,Sunny
7,2015-1-8,22,Sunny
8,2015-1-9,34,Snow
9,2015-1-10,24,Sunny
10,2015-1-11,38,Sunny
11,2015-1-12,40,Rain
12,2015-1-13,37,Sunny
13,2015-1-14,33,Sunny
14,2015-1-15,35,Sunny
15,2015-1-16,45,Sunny
16,2015-1-17,32,Sunny
17,2015-1-18,47,Fog-Rain
18,2015-1-19,45,Sunny
19,2015-1-20,41,Sunny
20,2015-1-21,38,Snow
21,2015-1-22,41,Sunny
22,2015-1-23,39,Snow
23,2015-1-24,40,Fog-Rain-Snow
24,2015-1-25,45,Sunny
25,2015-1-26,32,Snow
26,2015-1-27,27,Snow
27,2015-1-28,33,Sunny
28,2015-1-29,37,Snow
29,2015-1-30,38,Snow
30,2015-1-31,27,Sunny
31,2015-2-1,36,Snow
32,2015-2-2,35,Fog-Rain-Snow
33,2015-2-3,26,Sunny
34,2015-2-4,39,Sunny
35,2015-2-5,39,Snow
36,2015-2-6,27,Sunny
37,2015-2-7,37,Snow
38,2015-2-8,42,Sunny
39,2015-2-9,29,Rain
40,2015-2-10,40,Snow
41,2015-2-11,35,Sunny
42,2015-2-12,40,Snow
43,2015-2-13,23,Sunny
44,2015-2-14,35,Snow
45,2015-2-15,27,Snow
46,2015-2-16,23,Sunny
47,2015-2-17,27,Snow
48,2015-2-18,31,Snow
49,2015-2-19,27,Sunny
50,2015-2-20,21,Sunny
51,2015-2-21,33,Rain-Snow
52,2015-2-22,43,Rain-Snow
53,2015-2-23,38,Sunny
54,2015-2-24,28,Sunny
55,2015-2-25,37,Sunny
56,2015-2-26,32,Snow
57,2015-2-27,32,Sunny
58,2015-2-28,31,Sunny
59,2015-3-1,33,Fog-Rain-Snow
60,2015-3-2,39,Snow
61,2015-3-3,36,Rain-Snow
62,2015-3-4,41,Rain
63,2015-3-5,41,Fog-Rain-Snow
64,2015-3-6,25,Sunny
65,2015-3-7,37,Sunny
66,2015-3-8,48,Snow
67,2015-3-9,54,Rain
68,2015-3-10,50,Rain
69,2015-3-11,62,Fog-Rain
70,2015-3-12,50,Sunny
71,2015-3-13,41,Sunny
72,2015-3-14,49,Fog-Rain
73,2015-3-15,46,Sunny
74,2015-3-16,50,Sunny
75,2015-3-17,60,Rain
76,2015-3-18,41,Snow
77,2015-3-19,44,Sunny
78,2015-3-20,40,Fog-Snow
79,2015-3-21,48,Snow
80,2015-3-22,45,Sunny
81,2015-3-23,41,Sunny
82,2015-3-24,43,Sunny
83,2015-3-25,46,Rain
84,2015-3-26,54,Fog-Rain
85,2015-3-27,47,Rain
86,2015-3-28,42,Snow
87,2015-3-29,46,Snow
88,2015-3-30,58,Rain-Snow
89,2015-3-31,48,Rain
90,2015-4-1,53,Sunny
91,2015-4-2,57,Sunny
92,2015-4-3,59,Fog-Rain
93,2015-4-4,56,Rain
94,2015-4-5,65,Sunny
95,2015-4-6,60,Sunny
96,2015-4-7,57,Rain
97,2015-4-8,49,Rain
98,2015-4-9,44,Rain
99,2015-4-10,58,Fog-Rain
100,2015-4-11,61,Sunny
101,2015-4-12,61,Sunny
102,2015-4-13,62,Sunny
103,2015-4-14,66,Rain
104,2015-4-15,72,Sunny
105,2015-4-16,60,Sunny
106,2015-4-17,69,Fog-Rain
107,2015-4-18,73,Sunny
108,2015-4-19,62,Sunny
109,2015-4-20,58,Fog-Rain
110,2015-4-21,67,Rain-Thunderstorm
111,2015-4-22,63,Rain-Thunderstorm
112,2015-4-23,54,Sunny
113,2015-4-24,52,Sunny
114,2015-4-25,59,Sunny
115,2015-4-26,59,Sunny
116,2015-4-27,63,Sunny
117,2015-4-28,71,Sunny
118,2015-4-29,77,Sunny
119,2015-4-30,63,Sunny
120,2015-5-1,56,Sunny
121,2015-5-2,61,Sunny
122,2015-5-3,67,Sunny
123,2015-5-4,74,Sunny
124,2015-5-5,82,Sunny
125,2015-5-6,70,Rain
126,2015-5-7,72,Sunny
127,2015-5-8,72,Fog
128,2015-5-9,64,Fog-Rain
129,2015-5-10,74,Fog
130,2015-5-11,77,Fog
131,2015-5-12,87,Fog-Rain
132,2015-5-13,73,Sunny
133,2015-5-14,71,Sunny
134,2015-5-15,71,Sunny
135,2015-5-16,70,Rain-Thunderstorm
136,2015-5-17,81,Fog-Rain
137,2015-5-18,68,Sunny
138,2015-5-19,75,Rain
139,2015-5-20,69,Sunny
140,2015-5-21,62,Sunny
141,2015-5-22,79,Rain
142,2015-5-23,68,Sunny
143,2015-5-24,74,Sunny
144,2015-5-25,77,Sunny
145,2015-5-26,76,Sunny
146,2015-5-27,74,Sunny
147,2015-5-28,78,Sunny
148,2015-5-29,80,Sunny
149,2015-5-30,78,Fog
150,2015-5-31,79,Rain-Thunderstorm
151,2015-6-1,63,Rain-Thunderstorm
152,2015-6-2,56,Rain
153,2015-6-3,68,Rain
154,2015-6-4,67,Sunny
155,2015-6-5,69,Rain
156,2015-6-6,79,Rain
157,2015-6-7,71,Sunny
158,2015-6-8,73,Rain
159,2015-6-9,85,Rain
160,2015-6-10,79,Sunny
161,2015-6-11,87,Rain
162,2015-6-12,85,Sunny
163,2015-6-13,88,Rain
164,2015-6-14,86,Rain
165,2015-6-15,81,Rain-Thunderstorm
166,2015-6-16,79,Rain
167,2015-6-17,81,Sunny
168,2015-6-18,71,Rain
169,2015-6-19,89,Rain
170,2015-6-20,75,Rain
171,2015-6-21,90,Rain
172,2015-6-22,89,Sunny
173,2015-6-23,89,Rain-Thunderstorm
174,2015-6-24,86,Sunny
175,2015-6-25,82,Rain
176,2015-6-26,81,Rain
177,2015-6-27,71,Rain
178,2015-6-28,76,Rain
179,2015-6-29,79,Sunny
180,2015-6-30,81,Rain
181,2015-7-1,85,Rain-Thunderstorm
182,2015-7-2,80,Rain
183,2015-7-3,82,Sunny
184,2015-7-4,80,Rain
185,2015-7-5,81,Sunny
186,2015-7-6,83,Sunny
187,2015-7-7,84,Rain
188,2015-7-8,89,Rain
189,2015-7-9,77,Rain-Thunderstorm
190,2015-7-10,86,Sunny
191,2015-7-11,86,Sunny
192,2015-7-12,86,Sunny
193,2015-7-13,84,Sunny
194,2015-7-14,80,Rain
195,2015-7-15,82,Rain-Thunderstorm
196,2015-7-16,79,Sunny
197,2015-7-17,80,Sunny
198,2015-7-18,83,Rain-Thunderstorm
199,2015-7-19,89,Sunny
200,2015-7-20,95,Sunny
201,2015-7-21,89,Sunny
202,2015-7-22,89,Sunny
203,2015-7-23,88,Sunny
204,2015-7-24,87,Sunny
205,2015-7-25,84,Sunny
206,2015-7-26,87,Rain
207,2015-7-27,85,Sunny
208,2015-7-28,89,Sunny
209,2015-7-29,95,Sunny
210,2015-7-30,85,Rain-Thunderstorm
211,2015-7-31,93,Sunny
212,2015-8-1,91,Sunny
213,2015-8-2,87,Sunny
214,2015-8-3,89,Sunny
215,2015-8-4,92,Rain-Thunderstorm
216,2015-8-5,91,Sunny
217,2015-8-6,86,Sunny
218,2015-8-7,86,Sunny
219,2015-8-8,83,Sunny
220,2015-8-9,87,Sunny
221,2015-8-10,81,Sunny
222,2015-8-11,81,Rain
223,2015-8-12,88,Sunny
224,2015-8-13,87,Sunny
225,2015-8-14,86,Sunny
226,2015-8-15,88,Sunny
227,2015-8-16,90,Rain-Thunderstorm
228,2015-8-17,91,Sunny
229,2015-8-18,86,Sunny
230,2015-8-19,86,Sunny
231,2015-8-20,87,Sunny
232,2015-8-21,87,Rain-Thunderstorm
233,2015-8-22,86,Sunny
234,2015-8-23,83,Sunny
235,2015-8-24,84,Sunny
236,2015-8-25,85,Sunny
237,2015-8-26,84,Sunny
238,2015-8-27,83,Sunny
239,2015-8-28,82,Sunny
240,2015-8-29,84,Sunny
241,2015-8-30,84,Rain
242,2015-8-31,91,Sunny
243,2015-9-1,87,Sunny
244,2015-9-2,86,Sunny
245,2015-9-3,93,Sunny
246,2015-9-4,85,Sunny
247,2015-9-5,81,Sunny
248,2015-9-6,80,Sunny
249,2015-9-7,86,Sunny
250,2015-9-8,91,Sunny
251,2015-9-9,87,Rain-Thunderstorm
252,2015-9-10,79,Rain-Thunderstorm
253,2015-9-11,82,Rain
254,2015-9-12,80,Rain
255,2015-9-13,79,Rain
256,2015-9-14,78,Sunny
257,2015-9-15,80,Sunny
258,2015-9-16,84,Sunny
259,2015-9-17,84,Sunny
260,2015-9-18,83,Sunny
261,2015-9-19,80,Sunny
262,2015-9-20,80,Sunny
263,2015-9-21,72,Sunny
264,2015-9-22,73,Sunny
265,2015-9-23,80,Sunny
266,2015-9-24,83,Sunny
267,2015-9-25,75,Sunny
268,2015-9-26,73,Sunny
269,2015-9-27,72,Sunny
270,2015-9-28,79,Rain
271,2015-9-29,80,Rain
272,2015-9-30,78,Rain
273,2015-10-1,61,Rain
274,2015-10-2,57,Rain
275,2015-10-3,57,Rain
276,2015-10-4,66,Sunny
277,2015-10-5,67,Sunny
278,2015-10-6,74,Sunny
279,2015-10-7,71,Sunny
280,2015-10-8,70,Sunny
281,2015-10-9,74,Rain-Thunderstorm
282,2015-10-10,66,Sunny
283,2015-10-11,68,Sunny
284,2015-10-12,72,Sunny
285,2015-10-13,74,Rain
286,2015-10-14,70,Sunny
287,2015-10-15,65,Sunny
288,2015-10-16,66,Sunny
289,2015-10-17,58,Sunny
290,2015-10-18,53,Sunny
291,2015-10-19,52,Sunny
292,2015-10-20,70,Sunny
293,2015-10-21,71,Sunny
294,2015-10-22,70,Sunny
295,2015-10-23,66,Sunny
296,2015-10-24,59,Sunny
297,2015-10-25,70,Rain
298,2015-10-26,60,Sunny
299,2015-10-27,59,Sunny
300,2015-10-28,68,Rain
301,2015-10-29,74,Rain
302,2015-10-30,63,Sunny
303,2015-10-31,55,Sunny
304,2015-11-1,64,Sunny
305,2015-11-2,65,Sunny
306,2015-11-3,70,Sunny
307,2015-11-4,69,Sunny
308,2015-11-5,69,Fog-Rain
309,2015-11-6,75,Fog
310,2015-11-7,70,Sunny
311,2015-11-8,60,Sunny
312,2015-11-9,59,Sunny
313,2015-11-10,59,Rain
314,2015-11-11,59,Rain
315,2015-11-12,60,Rain
316,2015-11-13,61,Sunny
317,2015-11-14,51,Sunny
318,2015-11-15,59,Sunny
319,2015-11-16,69,Sunny
320,2015-11-17,53,Sunny
321,2015-11-18,60,Sunny
322,2015-11-19,63,Rain
323,2015-11-20,63,Sunny
324,2015-11-21,55,Sunny
325,2015-11-22,58,Sunny
326,2015-11-23,46,Sunny
327,2015-11-24,48,Sunny
328,2015-11-25,51,Sunny
329,2015-11-26,60,Sunny
330,2015-11-27,63,Fog
331,2015-11-28,65,Rain
332,2015-11-29,50,Rain
333,2015-11-30,50,Sunny
334,2015-12-1,53,Rain
335,2015-12-2,57,Fog-Rain
336,2015-12-3,56,Sunny
337,2015-12-4,53,Sunny
338,2015-12-5,53,Sunny
339,2015-12-6,51,Sunny
340,2015-12-7,55,Sunny
341,2015-12-8,51,Sunny
