Created_Date,Max TempF
"Fri
1/1/2016",42°
"Sat
1/2/2016",40°
"Sun
1/3/2016",45°
"Mon
1/4/2016",36°
"Tue
1/5/2016",29°
"Wed
1/6/2016",41°
"Thu
1/7/2016",46°
"Fri
1/8/2016",46°
"Sat
1/9/2016",47°
"Sun
1/10/2016",59°
"Mon
1/11/2016",40°
"Tue
1/12/2016",44°
"Wed
1/13/2016",30°
"Thu
1/14/2016",38°
"Fri
1/15/2016",51°
"Sat
1/16/2016",52°
"Sun
1/17/2016",42°
"Mon
1/18/2016",31°
"Tue
1/19/2016",28°
"Wed
1/20/2016",37°
"Thu
1/21/2016",36°
"Fri
1/22/2016",30°
"Sat
1/23/2016",27°
"Sun
1/24/2016",35°
"Mon
1/25/2016",39°
"Tue
1/26/2016",48°
"Wed
1/27/2016",47°
"Thu
1/28/2016",42°
"Fri
1/29/2016",41°
"Sat
1/30/2016",39°
"Sun
1/31/2016",56°
"Mon
2/1/2016",59°
"Tue
2/2/2016",50°
"Wed
2/3/2016",59°
"Thu
2/4/2016",59°
"Fri
2/5/2016",44°
Sat2/6/2016,41°
Sun2/7/2016,44°
Mon2/8/2016,38°
Tue2/9/2016,36°
Wed2/10/2016,37°
Thu2/11/2016,26°
Fri2/12/2016,29°
Sat2/13/2016,32°
Sun2/14/2016,28°
Mon2/15/2016,41°
Tue2/16/2016,43°
Wed2/17/2016,44°
Thu2/18/2016,46°
Fri2/19/2016,47°
Sat2/20/2016,54°
Sun2/21/2016,52°
Mon2/22/2016,42°
Tue2/23/2016,44°
Wed2/24/2016,46°
Thu2/25/2016,48°
Fri2/26/2016,38°
Sat2/27/2016,38°
Sun2/28/2016,41°
Mon2/29/2016,44°
Tue3/1/2016,44°
Wed3/2/2016,39°
Thu3/3/2016,39°
Fri3/4/2016,40°
Sat3/5/2016,50°
Sun3/6/2016,52°
Mon3/7/2016,50°
Tue3/8/2016,40°
Wed3/9/2016,44°
Thu3/10/2016,50°
Fri3/11/2016,53°
Sat3/12/2016,41°
Sun3/13/2016,42°
Mon3/14/2016,43°
Tue3/15/2016,46°
Wed3/16/2016,50°
Thu3/17/2016,50°
Fri3/18/2016,51°
Sat3/19/2016,56°
Sun3/20/2016,56°
Mon3/21/2016,54°
"Tue
3/22/2016",52°
"Wed
3/23/2016",52°
"Thu
3/24/2016",52°
"Fri
3/25/2016",53°
"Sat
3/26/2016",53°
"Sun
3/27/2016",54°
"Mon
3/28/2016",54°
"Tue
3/29/2016",54°
"Wed
3/30/2016",55°
"Thu
3/31/2016",55°
"Fri
4/1/2016",56°
"Sat
4/2/2016",56°
"Sun
4/3/2016",56°
"Mon
4/4/2016",57°
"Tue
4/5/2016",57°
"Wed
4/6/2016",58°
"Thu
4/7/2016",58°
"Fri
4/8/2016",58°
"Sat
4/9/2016",59°
"Sun
4/10/2016",59°
"Mon
4/11/2016",60°
"Tue
4/12/2016",60°
"Wed
4/13/2016",60°
"Thu
4/14/2016",61°
"Fri
4/15/2016",61°
"Sat
4/16/2016",62°
"Sun
4/17/2016",62°
"Mon
4/18/2016",62°
"Tue
4/19/2016",63°
"Wed
4/20/2016",63°
"Thu
4/21/2016",63°
"Fri
4/22/2016",64°
"Sat
4/23/2016",64°
"Sun
4/24/2016",64°
"Mon
4/25/2016",65°
"Tue
4/26/2016",65°
"Wed
4/27/2016",65°
"Thu
4/28/2016",66°
"Fri
4/29/2016",66°
"Sat
4/30/2016",66°
